City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Donskoye,RU,2021-10-04 02:38:04,45.4552,41.9741,46.53,84,100,13.78
241,Tanout,NE,2021-10-04 02:38:04,14.9709,8.8879,83.86,22,0,6.2
242,Ust-Ilimsk,RU,2021-10-04 02:38:05,58.0006,102.6619,37.53,72,98,3.74
243,Turukhansk,RU,2021-10-04 02:38:05,65.8167,87.9833,31.08,89,95,3.71
244,Zyryanka,RU,2021-10-04 02:38:06,65.75,150.85,31.78,61,91,13.24
245,Zhaotong,CN,2021-10-04 02:38:06,27.3167,103.7167,70.41,67,46,8.48
246,Aginskoye,RU,2021-10-04 02:38:07,51.1,114.53,43.03,58,99,13.69
247,Souillac,MU,2021-10-04 02:38:07,-20.5167,57.5167,73.36,94,75,5.75
248,Gwadar,PK,2021-10-04 02:38:07,25.1216,62.3254,80.69,79,9,6.53
249,Lebu,CL,2021-10-04 02:38:08,-37.6167,-73.65,48.2,78,0,19.06
250,Beloha,MG,2021-10-04 02:38:08,-25.1667,45.05,69.31,86,40,4.07
251,Ilebo,CD,2021-10-04 02:38:08,-4.3167,20.5833,67.75,92,97,0.43
252,Kahului,US,2021-10-04 02:38:09,20.8947,-156.47,84.22,66,40,24.16
253,Ronne,DK,2021-10-04 02:38:09,55.1009,14.7066,58.91,88,75,9.22
254,Narsaq,GL,2021-10-04 02:38:09,60.9167,-46.05,39.42,64,5,3.15
255,Shache,CN,2021-10-04 02:38:10,38.4167,77.2406,54.39,34,93,5.55
256,Morehead,US,2021-10-04 02:38:10,37.2711,-87.1764,67.95,91,40,0.0
257,Acarau,BR,2021-10-04 02:38:10,-2.8856,-40.12,79.21,84,11,16.89
258,Ilhabela,BR,2021-10-04 02:38:11,-23.7781,-45.3581,70.61,94,100,7.09
259,Burnie,AU,2021-10-04 02:38:11,-41.0667,145.9167,52.52,91,54,18.03
260,Kilindoni,TZ,2021-10-04 02:38:11,-7.9139,39.6668,76.23,73,64,9.84
261,Sioux Lookout,CA,2021-10-04 02:38:11,50.1001,-91.917,55.78,87,1,5.75
262,Bud,US,2021-10-04 02:38:12,39.447,-86.1758,66.9,90,9,5.95
263,Anloga,GH,2021-10-04 02:38:12,5.7947,0.8973,80.82,87,10,7.78
264,Pitimbu,BR,2021-10-04 02:38:13,-7.4706,-34.8086,77.59,78,24,13.0
265,Vila Franca Do Campo,PT,2021-10-04 02:38:13,37.7167,-25.4333,73.2,91,90,5.41
266,Bethel,US,2021-10-04 02:38:13,41.3712,-73.414,68.81,89,90,0.0
267,Yuksekova,TR,2021-10-04 02:38:14,37.5736,44.2872,61.43,72,0,4.03
268,Noumea,NC,2021-10-04 02:38:14,-22.2763,166.4572,85.98,76,10,12.48
269,Kabwe,ZM,2021-10-04 02:38:15,-14.4469,28.4464,69.71,65,99,1.72
270,Olafsvik,IS,2021-10-04 02:38:15,64.8945,-23.7142,40.89,82,100,30.78
271,Omagari,JP,2021-10-04 02:38:16,39.45,140.4833,79.56,42,21,8.01
272,Ulverstone,AU,2021-10-04 02:38:16,-41.15,146.1667,57.29,91,55,18.37
273,Progreso,MX,2021-10-04 02:38:16,21.2833,-89.6667,81.1,78,100,11.99
274,Darhan,MN,2021-10-04 02:38:17,49.4867,105.9228,40.71,66,56,0.63
275,Iqaluit,CA,2021-10-04 02:38:17,63.7506,-68.5145,29.93,80,1,4.61
276,Cao Bang,VN,2021-10-04 02:38:18,22.6667,106.25,85.55,63,20,3.8
277,Poum,NC,2021-10-04 02:38:18,-20.2333,164.0167,75.02,84,18,9.46
278,Sarakhs,IR,2021-10-04 02:38:18,36.5449,61.1577,46.54,42,0,0.0
279,Margate,GB,2021-10-04 02:38:19,51.3813,1.3862,54.91,86,10,1.99
280,Manavalakurichi,IN,2021-10-04 02:38:19,8.1333,77.3,82.49,76,77,8.48
281,Ahar,IR,2021-10-04 02:38:19,38.4774,47.0699,47.25,90,17,4.05
282,Chake Chake,TZ,2021-10-04 02:38:20,-5.2459,39.7666,72.77,85,29,6.35
283,Fuyu,CN,2021-10-04 02:38:20,45.1833,124.8167,53.73,47,78,10.85
284,Paamiut,GL,2021-10-04 02:38:20,61.994,-49.6678,37.78,62,49,9.08
285,Ribeira Grande,PT,2021-10-04 02:38:21,38.5167,-28.7,71.49,89,29,7.36
286,Saint-Francois,FR,2021-10-04 02:38:21,46.4154,3.9054,51.67,96,90,4.61
287,Sawakin,SD,2021-10-04 02:38:22,19.1059,37.3321,82.47,59,47,7.27
288,Kropotkin,RU,2021-10-04 02:38:22,45.4375,40.5756,49.87,78,100,15.46
289,Prokuplje,RS,2021-10-04 02:38:22,43.2342,21.5881,44.31,64,0,2.08
290,Tuburan,PH,2021-10-04 02:38:23,6.6439,122.2736,82.49,84,100,12.12
291,Northam,GB,2021-10-04 02:38:23,51.0333,-4.2167,53.29,95,100,14.43
292,Laguna,US,2021-10-04 02:38:24,38.421,-121.4238,82.24,37,1,3.44
293,Saint George,US,2021-10-04 02:37:09,37.1041,-113.5841,79.39,25,1,7.0
