City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Ewa Beach,US,21.3156,-158.0072,79.99,71,90,17.0,overcast clouds
204,Tiksi,RU,71.6872,128.8694,26.31,84,100,22.84,overcast clouds
205,Tezu,IN,27.9167,96.1667,76.1,94,100,1.66,overcast clouds
206,Kidal,ML,18.4411,1.4078,79.56,16,15,10.27,few clouds
207,Lagoa,PT,39.05,-27.9833,70.48,91,12,8.84,few clouds
208,Siguiri,GN,11.6667,-9.5,73.65,81,80,2.46,broken clouds
209,Novyy Urgal,RU,51.0736,132.5642,48.67,39,11,1.9,few clouds
210,Tessalit,ML,20.1986,1.0114,82.02,15,68,10.69,broken clouds
211,Gaomi,CN,36.3833,119.7528,73.18,88,100,9.44,overcast clouds
212,Iramuco,MX,19.95,-100.9167,59.38,96,100,1.97,overcast clouds
213,San Pedro De Cajas,PE,-11.2511,-75.8617,43.48,69,92,1.25,overcast clouds
214,Abong Mbang,CM,3.9833,13.1833,64.85,99,44,1.66,scattered clouds
215,Zabol,AF,32.25,67.25,64.54,20,0,6.35,clear sky
216,Warah,PK,27.4481,67.7978,97.83,32,8,8.52,clear sky
217,Ancud,CL,-41.8697,-73.8203,42.33,79,58,2.84,broken clouds
218,El Carmen,CO,8.5106,-73.4478,68.38,96,100,3.09,moderate rain
219,Shingu,JP,33.7333,135.9833,81.59,62,6,5.08,clear sky
220,Cape Town,ZA,-33.9258,18.4232,54.12,55,20,21.85,few clouds
221,Great Yarmouth,GB,52.6083,1.7305,53.02,89,46,15.79,scattered clouds
222,Egvekinot,RU,66.3167,-179.1667,27.23,99,100,5.19,light snow
223,Port Hedland,AU,-20.3167,118.5667,87.85,15,3,18.41,clear sky
224,La Raya De Santa Maria,PA,8.1667,-80.8167,76.55,89,99,3.24,overcast clouds
225,Byron Bay,AU,-28.65,153.6167,93.31,43,5,12.59,clear sky
226,Laguna,US,38.421,-121.4238,76.84,48,1,4.61,clear sky
227,Longyearbyen,SJ,78.2186,15.6401,40.84,81,75,16.11,broken clouds
228,Kudahuvadhoo,MV,2.6708,72.8944,84.02,74,36,15.68,scattered clouds
229,Dingle,PH,10.9995,122.6711,76.19,94,100,6.98,moderate rain
230,Baruun-Urt,MN,46.6806,113.2792,47.48,41,13,9.19,few clouds
231,Nortelandia,BR,-14.4547,-56.8028,76.77,76,95,5.01,overcast clouds
232,Iqaluit,CA,63.7506,-68.5145,28.13,80,1,3.44,clear sky
233,Dikson,RU,73.5069,80.5464,35.47,98,100,17.83,light rain
234,Yeppoon,AU,-23.1333,150.7333,96.58,46,1,15.88,clear sky
235,Pathalgaon,IN,22.5667,83.4667,84.43,64,1,3.71,clear sky
236,Lebu,CL,-37.6167,-73.65,47.5,80,0,19.71,clear sky
237,Raymondville,US,26.4815,-97.7831,80.1,79,37,5.01,scattered clouds
238,Hobyo,SO,5.3505,48.5268,81.46,75,84,14.45,broken clouds
239,Bartica,GY,6.4,-58.6167,77.32,99,86,0.54,overcast clouds
240,Champerico,GT,14.3,-91.9167,81.03,81,28,2.93,scattered clouds
241,Lazaro Cardenas,MX,17.9583,-102.2,77.97,86,98,3.74,overcast clouds
242,Naples,IT,40.8333,14.25,72.75,79,20,1.99,few clouds
243,Port Elizabeth,ZA,-33.918,25.5701,50.29,81,0,8.05,clear sky
244,Gao,ML,16.6362,1.637,80.55,15,3,10.45,clear sky
245,Dubbo,AU,-32.25,148.6167,68.13,40,0,16.11,clear sky
246,Cleethorpes,GB,53.5605,-0.0323,51.94,91,45,15.57,scattered clouds
247,Hami,CN,42.8,93.45,57.47,21,1,3.6,clear sky
248,Mandera,KE,3.9366,41.867,78.64,65,52,11.92,broken clouds
249,Port-Gentil,GA,-0.7193,8.7815,77.36,84,99,11.97,overcast clouds
250,Puerto Del Rosario,ES,28.5004,-13.8627,73.08,83,23,11.5,few clouds
251,Chernyshevskiy,RU,63.0128,112.4714,35.96,73,100,8.25,overcast clouds
252,Jacmel,HT,18.2342,-72.5347,76.84,66,100,2.37,overcast clouds
253,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,3.44,clear sky
254,Eirunepe,BR,-6.6603,-69.8736,72.7,98,96,0.4,overcast clouds
255,Bela,IN,25.9333,81.9833,90.05,60,3,5.53,clear sky
256,Mao,ES,39.8885,4.2658,73.96,68,20,8.05,few clouds
257,Adelaide,AU,-34.9333,138.6,60.28,80,75,25.32,broken clouds
258,Hofn,IS,64.2539,-15.2082,44.83,74,100,18.92,overcast clouds
259,Rawlins,US,41.7911,-107.2387,43.23,32,0,7.2,clear sky
260,Kirakira,SB,-10.4544,161.9205,82.56,79,87,4.47,overcast clouds
261,Hamilton,US,39.1834,-84.5333,67.75,93,90,1.01,overcast clouds
262,Manado,ID,1.487,124.8455,90.37,62,40,8.05,scattered clouds
263,Sola,VU,-13.8833,167.55,80.62,77,43,7.87,scattered clouds
264,Zastron,ZA,-30.3023,27.084,46.72,33,0,2.1,clear sky
265,Morgan City,US,29.6994,-91.2068,75.99,100,1,0.0,clear sky
266,Vao,NC,-22.6667,167.4833,71.74,89,0,13.89,clear sky
267,Dachau,DE,48.26,11.434,58.12,75,100,6.55,overcast clouds
268,Waw,SS,7.7029,27.9953,72.95,89,81,2.84,broken clouds
269,Chabahar,IR,25.2919,60.643,83.08,70,74,2.48,broken clouds
270,Nordborg,DK,55.0573,9.7408,54.95,89,75,9.22,broken clouds
271,Demba,CD,-5.51,22.2667,67.01,84,99,0.36,overcast clouds
272,Ahuimanu,US,21.4447,-157.8378,79.75,73,75,11.5,broken clouds
273,Stalowa Wola,PL,50.5829,22.0533,47.12,89,44,3.0,scattered clouds
274,Tarakan,ID,3.3,117.6333,83.7,79,40,4.61,scattered clouds
275,Emerald,AU,-23.5333,148.1667,100.54,16,3,13.8,clear sky
276,Manvi,IN,15.9833,77.05,85.42,58,0,4.12,clear sky
277,Palu,ID,-0.8917,119.8707,84.79,79,67,4.85,broken clouds
278,Zaidpur,IN,26.8333,81.3333,82.47,62,2,4.27,clear sky
279,Wufeng,CN,27.45,104.8333,74.95,53,13,14.56,few clouds
280,Sept-Iles,CA,50.2001,-66.3821,39.06,90,1,3.44,clear sky
281,Torbay,CA,47.6666,-52.7314,52.57,93,90,8.05,overcast clouds
282,North Bend,US,43.4065,-124.2243,56.95,94,1,17.27,clear sky
283,Halenkov,CZ,49.3174,18.1475,54.72,73,23,4.07,few clouds
284,Andenes,NO,69.3143,16.1194,57.18,62,0,16.11,clear sky
285,Ketchikan,US,55.3422,-131.6461,42.78,88,98,5.03,light rain
286,Roma,US,43.2128,-75.4557,64.89,95,90,8.05,moderate rain
287,Kieta,PG,-6.2167,155.6333,83.05,82,95,4.99,moderate rain
288,Bosanski Brod,BA,45.1375,17.9897,52.47,68,1,3.15,clear sky
289,La Ronge,CA,55.1001,-105.2842,50.22,61,75,3.44,broken clouds
290,Bull Savanna,JM,17.8868,-77.5902,76.01,84,87,5.99,overcast clouds
